87.50  0.10   1.84162   0.00013  1.81459   0.000100
85.00  0.10   1.82010	0.00014  1.80474   0.000140
82.50  0.10   1.80000	0.00020  1.79725   0.000150
80.00  0.10   1.78262	0.00006  1.79002   0.000060
77.50  0.10   1.76476	0.00006  1.78390   0.000030
